ad_id,account_id,timestamp,vertical,domain_age_days,daily_spend_usd,click_through_rate,user_report_count,ai_generated_flag,ai_label_compliant,ip_subnet,destination_tld,policy_violation_category
AD-BENIGN-0092153,ACC-300623,2026-07-19 03:23:00,Local Services,755,25.96,0.1155,0,1,1,192.168.197,.com,None
AD-BENIGN-0016351,ACC-861524,2026-07-01 19:57:00,Local Services,2142,221.06,0.0883,0,1,0,192.168.77,.com,None
AD-BENIGN-0093557,ACC-713211,2026-08-03 23:49:00,E-Commerce,16,27.06,0.0071,0,1,1,192.168.57,.org,None
AD-BENIGN-0094615,ACC-543669,2026-09-04 11:45:00,Education,884,43.75,0.0193,0,0,1,192.168.223,.org,None
AD-BENIGN-0057193,ACC-813209,2026-08-04 06:38:00,SaaS,701,95.33,0.0249,0,0,1,192.168.107,.net,None
AD-BENIGN-0016518,ACC-111052,2026-07-12 15:55:00,Travel,16,23.53,0.0599,0,0,1,192.168.221,.com,None
AD-BENIGN-0054562,ACC-853898,2026-08-30 20:12:00,SaaS,992,8.86,0.0382,0,0,1,192.168.119,.org,None
AD-BENIGN-0041713,ACC-362242,2026-08-20 21:48:00,E-Commerce,40,15.04,0.0736,0,0,1,192.168.128,.co,None
AD-BENIGN-0061581,ACC-200774,2026-08-09 08:56:00,SaaS,327,25.18,0.0426,0,0,1,192.168.72,.net,None
AD-BENIGN-0017790,ACC-825776,2026-08-13 11:47:00,E-Commerce,294,27.46,0.1184,0,0,1,192.168.244,.net,None
AD-BENIGN-0075190,ACC-798753,2026-07-11 02:25:00,Education,688,14.54,0.0007,0,1,1,192.168.200,.com,None
AD-BENIGN-0040859,ACC-152011,2026-08-26 08:45:00,E-Commerce,16,5.84,0.0092,0,0,0,192.168.175,.io,None
AD-BENIGN-0031107,ACC-379169,2026-07-03 01:12:00,Local Services,722,21.77,0.0795,0,0,1,192.168.169,.org,None
AD-BENIGN-0022349,ACC-722081,2026-07-02 11:24:00,SaaS,178,46.88,0.0203,0,0,1,192.168.187,.com,None
AD-BENIGN-0015060,ACC-588360,2026-07-03 15:26:00,Education,1239,3.28,0.0533,0,0,1,192.168.121,.org,None
AD-BENIGN-0092639,ACC-616151,2026-08-02 23:48:00,E-Commerce,608,32.53,0.0153,0,0,1,192.168.202,.com,None
AD-BENIGN-0047147,ACC-377631,2026-09-08 00:59:00,E-Commerce,868,49.64,0.0243,0,0,1,192.168.139,.io,None
AD-BENIGN-0091298,ACC-417824,2026-08-22 07:08:00,SaaS,550,9.67,0.0202,0,0,1,192.168.109,.co,None
AD-BENIGN-0075130,ACC-882388,2026-08-10 09:22:00,Travel,1180,32.37,0.0609,0,1,1,192.168.22,.com,None
AD-BENIGN-0055134,ACC-210252,2026-08-06 04:38:00,SaaS,117,61.71,0.0163,0,0,1,192.168.188,.com,None
AD-BENIGN-0001950,ACC-981258,2026-08-09 16:42:00,Education,212,55.41,0.0282,0,1,1,192.168.56,.co,None
AD-BENIGN-0093285,ACC-565612,2026-08-11 02:39:00,E-Commerce,438,27.93,0.051,0,0,1,192.168.136,.co,None
AD-BENIGN-0009120,ACC-989981,2026-08-30 09:14:00,Education,244,19.03,0.0276,0,0,1,192.168.99,.io,None
AD-BENIGN-0088843,ACC-210547,2026-08-27 09:02:00,Local Services,32,22.86,0.0388,0,1,1,192.168.247,.org,None
AD-BENIGN-0018366,ACC-281572,2026-07-14 16:44:00,SaaS,423,5.71,0.0286,0,1,1,192.168.6,.org,None
AD-BENIGN-0005606,ACC-102180,2026-07-15 22:36:00,Education,373,30.65,0.0236,0,0,1,192.168.121,.com,None
AD-BENIGN-0035519,ACC-523015,2026-08-09 23:01:00,Education,76,18.09,0.0121,0,0,1,192.168.219,.org,None
AD-BENIGN-0067353,ACC-757036,2026-08-24 10:35:00,SaaS,781,37.26,0.0171,0,0,1,192.168.121,.io,None
AD-BENIGN-0060922,ACC-316298,2026-08-16 11:55:00,E-Commerce,150,43.75,0.0848,0,1,1,192.168.3,.net,None
AD-BENIGN-0092832,ACC-932757,2026-09-07 17:06:00,Travel,624,13.46,0.0284,0,0,1,192.168.177,.co,None
AD-BENIGN-0081879,ACC-107552,2026-08-16 15:12:00,Travel,220,101.46,0.075,0,0,1,192.168.223,.io,None
AD-BENIGN-0006892,ACC-642198,2026-08-02 15:52:00,Education,188,128.2,0.0432,0,0,1,192.168.23,.net,None
AD-BENIGN-0046889,ACC-512012,2026-07-26 06:40:00,SaaS,426,31.64,0.0311,0,1,1,192.168.14,.net,None
AD-BENIGN-0027576,ACC-827680,2026-07-14 04:37:00,Education,327,62.14,0.0376,0,0,0,192.168.132,.net,None
AD-BENIGN-0018071,ACC-714428,2026-08-09 12:22:00,E-Commerce,343,29.28,0.0542,0,0,1,192.168.208,.com,None
AD-BENIGN-0012783,ACC-377522,2026-08-02 15:05:00,E-Commerce,207,22.96,0.0757,0,0,1,192.168.64,.org,None
AD-BENIGN-0095977,ACC-609880,2026-08-04 07:01:00,SaaS,433,38.31,0.0504,0,0,1,192.168.109,.io,None
AD-BENIGN-0083470,ACC-147892,2026-08-24 09:11:00,Local Services,846,151.5,0.0224,0,0,1,192.168.172,.com,None
AD-BENIGN-0061771,ACC-469932,2026-08-10 21:02:00,Education,999,17.42,0.0747,0,1,1,192.168.42,.com,None
AD-BENIGN-0065295,ACC-729362,2026-09-07 11:14:00,E-Commerce,219,59.55,0.1207,0,0,0,192.168.203,.net,None
AD-BENIGN-0077247,ACC-536879,2026-09-01 02:20:00,Travel,377,126.1,0.0207,1,0,1,192.168.238,.com,None
AD-BENIGN-0005385,ACC-260706,2026-08-12 23:45:00,Education,57,46.49,0.0244,0,0,1,192.168.249,.org,None
AD-BENIGN-0057955,ACC-106271,2026-08-10 18:30:00,Education,1117,34.11,0.0417,0,0,1,192.168.238,.net,None
AD-BENIGN-0059521,ACC-293643,2026-08-07 06:46:00,SaaS,298,566.09,0.046,0,1,1,192.168.138,.io,None
AD-BENIGN-0066086,ACC-557495,2026-07-06 20:00:00,SaaS,146,31.66,0.0599,0,0,1,192.168.241,.org,None
AD-BENIGN-0058504,ACC-871539,2026-07-31 02:54:00,SaaS,172,64.52,0.0506,1,1,1,192.168.155,.net,None
AD-BENIGN-0035418,ACC-566792,2026-08-29 13:29:00,E-Commerce,85,13.23,0.0583,0,0,1,192.168.100,.net,None
AD-BENIGN-0011166,ACC-417087,2026-09-01 10:06:00,SaaS,345,19.91,0.0135,0,1,1,192.168.27,.net,None
AD-BENIGN-0030988,ACC-959298,2026-08-10 10:08:00,SaaS,348,36.53,0.0492,0,1,1,192.168.203,.net,None
AD-BENIGN-0055516,ACC-614012,2026-08-11 21:29:00,Travel,758,102.82,0.0374,0,0,1,192.168.101,.net,None
AD-BENIGN-0004879,ACC-558846,2026-07-15 22:16:00,Travel,15,48.4,0.0135,0,1,1,192.168.118,.com,None
AD-BENIGN-0058926,ACC-647193,2026-07-17 13:28:00,Education,203,108.69,0.0854,0,0,1,192.168.136,.com,None
AD-BENIGN-0019920,ACC-146171,2026-07-12 18:13:00,Travel,18,11.53,0.0823,0,0,1,192.168.147,.net,None
AD-BENIGN-0091294,ACC-761479,2026-07-12 20:40:00,Travel,362,40.57,0.0179,0,0,0,192.168.223,.io,None
AD-BENIGN-0025563,ACC-421270,2026-08-15 16:23:00,Travel,343,37.45,0.0081,0,1,1,192.168.237,.io,None
AD-BENIGN-0019264,ACC-419785,2026-07-12 23:57:00,Education,79,56.77,0.0446,0,1,1,192.168.95,.com,None
AD-BENIGN-0016057,ACC-331302,2026-08-14 12:30:00,SaaS,134,94.64,0.0152,0,0,1,192.168.141,.co,None
AD-BENIGN-0002611,ACC-136210,2026-07-02 03:13:00,Education,502,24.26,0.0795,0,0,1,192.168.179,.net,None
AD-BENIGN-0082666,ACC-397604,2026-07-14 18:35:00,Local Services,134,23.39,0.1045,0,0,1,192.168.159,.net,None
AD-BENIGN-0083879,ACC-452669,2026-08-24 06:09:00,Education,329,9.76,0.0159,0,0,1,192.168.216,.io,None
AD-BENIGN-0053031,ACC-782484,2026-09-07 02:49:00,Travel,599,14.75,0.0728,0,0,1,192.168.242,.org,None
AD-BENIGN-0010289,ACC-683736,2026-08-25 17:39:00,E-Commerce,340,38.04,0.0153,0,1,1,192.168.92,.co,None
AD-BENIGN-0000667,ACC-828903,2026-07-29 13:14:00,Travel,48,54.49,0.0245,0,0,1,192.168.77,.org,None
AD-BENIGN-0006271,ACC-622125,2026-08-09 17:11:00,E-Commerce,168,23.26,0.0316,0,0,1,192.168.104,.com,None
AD-BENIGN-0077920,ACC-361525,2026-08-31 20:30:00,Education,58,418.22,0.0888,0,0,1,192.168.44,.io,None
AD-BENIGN-0063016,ACC-490741,2026-07-28 06:44:00,Local Services,420,22.88,0.0766,1,0,1,192.168.217,.io,None
AD-BENIGN-0084918,ACC-767770,2026-07-26 02:20:00,SaaS,591,15.41,0.0557,0,0,1,192.168.170,.co,None
AD-BENIGN-0004666,ACC-929813,2026-07-05 10:38:00,E-Commerce,380,83.99,0.041,0,0,1,192.168.214,.io,None
AD-BENIGN-0086926,ACC-121108,2026-08-12 10:43:00,SaaS,952,17.67,0.0822,0,0,1,192.168.139,.net,None
AD-BENIGN-0035425,ACC-613692,2026-07-16 02:43:00,Local Services,128,28.98,0.0449,0,0,1,192.168.6,.co,None
AD-BENIGN-0010286,ACC-812324,2026-07-04 10:53:00,Education,214,28.86,0.0185,0,0,1,192.168.193,.co,None
AD-BENIGN-0060861,ACC-946379,2026-08-10 07:37:00,Travel,141,10.12,0.0173,0,0,1,192.168.204,.org,None
AD-BENIGN-0078745,ACC-282393,2026-09-04 04:09:00,Local Services,743,38.0,0.173,1,0,1,192.168.6,.org,None
AD-BENIGN-0076758,ACC-552551,2026-08-25 22:24:00,Travel,316,24.17,0.0214,1,0,1,192.168.7,.com,None
AD-BENIGN-0093436,ACC-170130,2026-08-23 08:43:00,E-Commerce,350,48.82,0.0818,0,0,1,192.168.167,.org,None
AD-BENIGN-0095981,ACC-812234,2026-07-03 17:55:00,Education,551,24.9,0.1777,0,0,1,192.168.57,.net,None
AD-BENIGN-0006250,ACC-611704,2026-07-19 09:12:00,Education,418,44.54,0.0538,0,0,0,192.168.93,.io,None
AD-BENIGN-0075330,ACC-120773,2026-07-21 18:44:00,Education,750,45.34,0.0062,0,1,1,192.168.38,.org,None
AD-BENIGN-0006714,ACC-371491,2026-07-25 08:39:00,Education,287,31.77,0.0106,0,0,1,192.168.234,.com,None
AD-BENIGN-0029835,ACC-194987,2026-07-11 23:25:00,E-Commerce,22,138.54,0.0269,0,0,0,192.168.9,.io,None
AD-BENIGN-0044824,ACC-165461,2026-07-26 17:37:00,Local Services,438,21.77,0.0733,0,0,1,192.168.108,.org,None
AD-BENIGN-0097407,ACC-158261,2026-07-28 22:49:00,E-Commerce,562,112.63,0.0324,0,1,1,192.168.181,.io,None
AD-BENIGN-0063539,ACC-842712,2026-08-30 12:26:00,SaaS,238,17.15,0.0634,0,0,1,192.168.114,.org,None
AD-BENIGN-0007708,ACC-670330,2026-07-25 09:26:00,SaaS,947,44.82,0.0537,0,0,1,192.168.189,.co,None
AD-BENIGN-0091112,ACC-307724,2026-07-10 01:17:00,Local Services,78,50.73,0.0547,0,0,1,192.168.1,.io,None
AD-BENIGN-0009621,ACC-197837,2026-08-29 23:10:00,Local Services,650,9.12,0.1296,0,1,1,192.168.173,.com,None
AD-BENIGN-0076106,ACC-795401,2026-07-11 20:05:00,Travel,531,17.15,0.0587,0,0,1,192.168.211,.org,None
AD-BENIGN-0018491,ACC-606775,2026-08-19 21:54:00,Travel,218,107.49,0.0068,0,0,1,192.168.227,.co,None
AD-BENIGN-0082257,ACC-283915,2026-07-15 02:00:00,E-Commerce,696,17.06,0.0926,0,0,1,192.168.234,.net,None
AD-BENIGN-0019089,ACC-743063,2026-07-03 17:45:00,E-Commerce,788,6.64,0.0084,0,1,0,192.168.147,.io,None
AD-BENIGN-0029241,ACC-658527,2026-07-31 13:31:00,E-Commerce,613,16.11,0.0031,0,0,0,192.168.248,.org,None
AD-BENIGN-0073631,ACC-998300,2026-07-26 21:57:00,Travel,374,28.76,0.0812,0,0,1,192.168.26,.com,None
AD-BENIGN-0014566,ACC-898758,2026-08-10 19:13:00,Education,1943,112.76,0.0697,0,0,1,192.168.126,.co,None
AD-BENIGN-0005491,ACC-263403,2026-07-16 21:26:00,E-Commerce,412,31.73,0.1143,0,0,1,192.168.27,.com,None
AD-BENIGN-0000763,ACC-193546,2026-08-26 16:35:00,Education,368,43.47,0.0431,0,0,0,192.168.72,.org,None
AD-BENIGN-0026995,ACC-667474,2026-07-09 22:08:00,Travel,264,30.96,0.0545,0,0,1,192.168.118,.org,None
AD-BENIGN-0022111,ACC-379453,2026-08-15 21:04:00,E-Commerce,1973,2.46,0.0637,0,0,1,192.168.168,.org,None
AD-BENIGN-0075911,ACC-134071,2026-08-28 02:42:00,Travel,55,61.76,0.0379,0,0,1,192.168.117,.net,None
AD-BENIGN-0086090,ACC-421174,2026-08-23 19:57:00,Travel,262,32.07,0.0583,0,0,1,192.168.134,.net,None
AD-BENIGN-0095619,ACC-918009,2026-08-22 19:05:00,Local Services,456,27.7,0.0158,0,0,1,192.168.18,.io,None
AD-BENIGN-0038405,ACC-277187,2026-07-26 05:49:00,Education,666,5.02,0.0847,0,1,1,192.168.169,.co,None
AD-BENIGN-0042855,ACC-233601,2026-08-31 17:49:00,SaaS,183,108.96,0.0402,0,0,1,192.168.163,.co,None
AD-BENIGN-0025202,ACC-807857,2026-08-05 01:00:00,Travel,543,107.38,0.011,0,0,1,192.168.196,.com,None
AD-FRAUD-0000093,ACC-GHOST-655,2026-09-05 04:20:00,Financial Services,3,2142.32,0.1465,5,1,0,10.104.14,.xyz,Misrepresentation: Financial Scam
AD-BENIGN-0044028,ACC-269530,2026-08-11 17:58:00,SaaS,218,42.79,0.025,0,1,1,192.168.9,.net,None
AD-BENIGN-0022278,ACC-963991,2026-08-05 06:11:00,Travel,971,51.49,0.0267,0,0,1,192.168.215,.io,None
AD-BENIGN-0023984,ACC-610738,2026-09-02 12:26:00,Local Services,617,9.16,0.0883,0,0,1,192.168.212,.com,None
AD-BENIGN-0092974,ACC-337831,2026-08-18 12:25:00,Local Services,63,64.27,0.0521,0,0,1,192.168.36,.com,None
AD-BENIGN-0010023,ACC-637384,2026-07-23 12:31:00,Education,963,62.48,0.0338,0,1,1,192.168.85,.co,None
AD-BENIGN-0087498,ACC-527805,2026-07-11 22:18:00,E-Commerce,342,108.92,0.0107,0,0,1,192.168.191,.io,None
AD-BENIGN-0032443,ACC-871874,2026-08-05 20:36:00,Education,212,95.78,0.0364,0,0,1,192.168.99,.co,None
AD-BENIGN-0070462,ACC-275099,2026-08-15 13:06:00,SaaS,112,5.65,0.0832,1,1,1,192.168.120,.org,None
AD-BENIGN-0053822,ACC-160124,2026-08-08 02:34:00,Education,422,122.15,0.0144,0,0,0,192.168.7,.com,None
AD-BENIGN-0076353,ACC-744661,2026-07-18 17:57:00,Education,262,32.25,0.0419,0,0,1,192.168.101,.io,None
AD-BENIGN-0029859,ACC-269162,2026-07-27 12:00:00,SaaS,235,3.5,0.0155,0,1,1,192.168.98,.co,None
AD-BENIGN-0022293,ACC-510613,2026-08-29 08:50:00,E-Commerce,138,22.05,0.0048,1,0,1,192.168.189,.org,None
AD-BENIGN-0035920,ACC-832971,2026-08-26 14:54:00,Education,60,31.51,0.0294,0,0,1,192.168.230,.org,None
AD-BENIGN-0063752,ACC-594378,2026-08-31 05:22:00,SaaS,513,33.32,0.0102,0,0,1,192.168.153,.com,None
AD-BENIGN-0001363,ACC-650303,2026-08-12 17:38:00,SaaS,288,21.22,0.0116,0,0,1,192.168.68,.org,None
AD-BENIGN-0055827,ACC-680546,2026-07-25 22:59:00,SaaS,16,37.12,0.1042,0,1,1,192.168.195,.io,None
AD-BENIGN-0064518,ACC-898321,2026-09-06 04:32:00,Education,884,14.65,0.0663,0,1,1,192.168.75,.co,None
AD-BENIGN-0040128,ACC-653026,2026-08-13 07:50:00,SaaS,568,0.66,0.0773,0,0,1,192.168.62,.com,None
AD-BENIGN-0032799,ACC-867116,2026-07-21 17:53:00,Local Services,15,21.77,0.0531,0,0,1,192.168.5,.io,None
AD-BENIGN-0057988,ACC-569145,2026-07-19 07:30:00,Education,611,29.02,0.0656,0,0,1,192.168.132,.org,None
AD-BENIGN-0002989,ACC-647137,2026-07-11 01:48:00,Education,1455,6.8,0.0682,0,1,1,192.168.170,.net,None
AD-BENIGN-0021994,ACC-908508,2026-07-10 09:19:00,Local Services,221,19.53,0.0648,0,1,1,192.168.163,.io,None
AD-BENIGN-0032637,ACC-143138,2026-07-27 16:47:00,E-Commerce,274,31.41,0.0676,0,0,1,192.168.239,.io,None
AD-BENIGN-0008297,ACC-735068,2026-07-22 02:06:00,E-Commerce,260,13.13,0.1006,0,1,1,192.168.190,.co,None
AD-BENIGN-0090265,ACC-695283,2026-08-21 17:02:00,SaaS,1162,23.44,0.047,0,0,1,192.168.99,.io,None
AD-BENIGN-0016235,ACC-685172,2026-08-08 04:59:00,Education,554,20.36,0.0285,0,0,1,192.168.178,.com,None
AD-BENIGN-0086543,ACC-495075,2026-07-15 19:57:00,Travel,362,30.18,0.0701,0,0,1,192.168.186,.co,None
AD-BENIGN-0064882,ACC-265786,2026-08-08 14:54:00,Education,70,22.58,0.0346,0,0,1,192.168.241,.co,None
AD-BENIGN-0005852,ACC-137638,2026-09-06 23:06:00,Education,96,191.91,0.0586,0,0,1,192.168.244,.net,None
AD-BENIGN-0074545,ACC-174247,2026-08-01 14:38:00,SaaS,642,10.89,0.0566,0,0,1,192.168.118,.net,None
AD-BENIGN-0066645,ACC-499210,2026-07-12 23:44:00,Education,180,67.0,0.045,0,0,0,192.168.91,.net,None
AD-BENIGN-0029767,ACC-397818,2026-07-21 03:57:00,Travel,29,53.43,0.0504,0,0,1,192.168.75,.org,None
AD-BENIGN-0039267,ACC-444338,2026-08-12 00:11:00,Education,42,36.53,0.0627,0,0,0,192.168.194,.com,None
AD-BENIGN-0046739,ACC-817440,2026-07-08 09:43:00,Education,149,21.21,0.094,1,0,1,192.168.89,.org,None
AD-BENIGN-0006389,ACC-230572,2026-07-10 18:21:00,Travel,609,39.14,0.0202,0,0,1,192.168.198,.com,None
AD-BENIGN-0041461,ACC-347755,2026-07-11 00:27:00,E-Commerce,393,44.96,0.1063,0,1,1,192.168.216,.org,None
AD-BENIGN-0042187,ACC-724367,2026-08-07 10:30:00,E-Commerce,178,27.72,0.0197,0,0,0,192.168.143,.org,None
AD-BENIGN-0009286,ACC-898160,2026-07-30 21:45:00,Education,475,64.62,0.0282,0,0,1,192.168.52,.org,None
AD-BENIGN-0066847,ACC-685757,2026-08-07 08:48:00,SaaS,206,300.98,0.0675,0,1,1,192.168.59,.net,None
AD-BENIGN-0064776,ACC-328847,2026-07-05 03:54:00,Education,101,44.74,0.0316,0,0,1,192.168.230,.co,None
AD-BENIGN-0050408,ACC-227375,2026-08-06 10:27:00,Local Services,29,168.22,0.1305,0,0,1,192.168.117,.org,None
AD-BENIGN-0053082,ACC-427618,2026-07-15 01:23:00,Local Services,27,41.84,0.0759,0,0,1,192.168.160,.com,None
AD-BENIGN-0090696,ACC-172769,2026-08-31 19:10:00,E-Commerce,855,193.9,0.0116,0,1,1,192.168.137,.com,None
AD-BENIGN-0003962,ACC-738251,2026-07-23 21:00:00,Travel,986,50.08,0.0919,0,0,1,192.168.58,.org,None
AD-BENIGN-0014191,ACC-288215,2026-07-21 01:29:00,Education,90,17.1,0.0551,0,0,1,192.168.62,.io,None
AD-BENIGN-0094741,ACC-758672,2026-07-04 12:43:00,Travel,167,7.26,0.0168,0,0,1,192.168.25,.io,None
AD-BENIGN-0089202,ACC-980041,2026-09-08 01:47:00,Education,366,29.47,0.0999,0,0,1,192.168.32,.net,None
AD-BENIGN-0066733,ACC-842543,2026-08-14 09:24:00,Local Services,70,15.94,0.0396,0,0,1,192.168.164,.io,None
AD-BENIGN-0088483,ACC-611902,2026-08-25 18:47:00,E-Commerce,174,99.0,0.0166,0,0,1,192.168.86,.com,None
AD-BENIGN-0072205,ACC-569504,2026-07-09 11:07:00,Education,166,58.77,0.0446,0,0,1,192.168.29,.com,None
AD-BENIGN-0087548,ACC-209015,2026-08-09 08:29:00,Travel,268,109.17,0.0602,0,0,1,192.168.114,.org,None
AD-BENIGN-0069809,ACC-308211,2026-08-12 09:03:00,Education,858,22.71,0.103,0,1,1,192.168.76,.net,None
AD-BENIGN-0055240,ACC-580485,2026-07-19 11:12:00,Travel,502,44.95,0.0479,0,0,1,192.168.123,.org,None
AD-BENIGN-0084645,ACC-897595,2026-08-15 08:44:00,SaaS,492,36.56,0.0348,0,0,1,192.168.209,.org,None
AD-BENIGN-0004280,ACC-998969,2026-08-07 21:53:00,E-Commerce,276,102.29,0.0287,0,0,1,192.168.224,.com,None
AD-BENIGN-0093781,ACC-664695,2026-08-19 01:02:00,E-Commerce,308,11.96,0.064,0,0,1,192.168.248,.io,None
AD-BENIGN-0028948,ACC-177918,2026-08-19 22:50:00,SaaS,224,65.08,0.1293,0,0,1,192.168.56,.com,None
AD-BENIGN-0096831,ACC-902238,2026-07-02 21:57:00,Travel,931,7.58,0.0747,0,0,1,192.168.160,.com,None
AD-BENIGN-0024522,ACC-616645,2026-08-27 03:26:00,SaaS,98,16.84,0.0368,0,0,1,192.168.94,.io,None
AD-BENIGN-0029700,ACC-560189,2026-07-01 01:05:00,SaaS,332,30.14,0.0526,0,0,1,192.168.84,.org,None
AD-BENIGN-0069296,ACC-671959,2026-08-14 00:01:00,Education,901,39.88,0.0326,0,1,1,192.168.246,.co,None
AD-BENIGN-0040257,ACC-795080,2026-08-28 18:39:00,Education,86,30.08,0.0091,0,0,1,192.168.147,.net,None
AD-BENIGN-0076191,ACC-972688,2026-07-04 05:22:00,Local Services,148,120.68,0.0582,0,1,1,192.168.174,.io,None
AD-BENIGN-0064550,ACC-426022,2026-08-30 16:25:00,SaaS,432,16.46,0.0168,0,0,1,192.168.202,.com,None
AD-BENIGN-0093408,ACC-335098,2026-09-04 08:31:00,Local Services,350,44.1,0.0687,0,0,1,192.168.25,.net,None
AD-BENIGN-0091558,ACC-381869,2026-08-13 14:57:00,Local Services,988,75.91,0.0409,0,0,1,192.168.169,.org,None
AD-BENIGN-0007176,ACC-622573,2026-08-28 23:53:00,Education,437,19.96,0.0545,0,0,1,192.168.160,.net,None
